primary_cluster,secondary_cluster,LJM (Democratic),KMS (BOSU),LJS (Reform),KYK (Minno),SJH (Independent),invalid,blank
Gyeongsangbuk-do,포항시남구,39332,94527,10809,1290,138,1032,42035
Gyeongsangbuk-do,울릉군,1814,4351,454,30,5,62,1696
Gyeongsangbuk-do,경주시,45754,112844,10753,2182,156,1184,44447
Gyeongsangbuk-do,김천시,23343,62634,6209,672,96,651,24168
Gyeongsangbuk-do,안동시,33560,65739,7050,841,98,928,28115
Gyeongsangbuk-do,구미시,72584,160141,22956,2039,295,1974,78640
Gyeongsangbuk-do,영주시,18860,45015,3953,458,70,586,17959
Gyeongsangbuk-do,영천시,14223,51359,3209,387,68,520,18128
Gyeongsangbuk-do,상주시,14270,46856,3496,411,75,574,16269
Gyeongsangbuk-do,문경시,10266,34287,2337,297,48,420,12132
Gyeongsangbuk-do,예천군,10039,25065,2336,272,47,418,8480
Gyeongsangbuk-do,경산시,44160,120563,14420,1472,187,1328,50522
Gyeongsangbuk-do,청도군,6045,22480,1273,164,37,245,7526
Gyeongsangbuk-do,고령군,4130,16684,990,126,29,204,5605
Gyeongsangbuk-do,성주군,5989,23775,1416,170,37,260,6589
Gyeongsangbuk-do,칠곡군,18246,45689,4605,518,97,499,22580
Gyeongsangbuk-do,의성군,6725,28522,1442,220,42,325,8457
Gyeongsangbuk-do,청송군,3789,13348,797,125,19,172,3820
Gyeongsangbuk-do,영양군,2848,8104,484,72,10,97,2546
Gyeongsangbuk-do,영덕군,4407,18780,972,155,22,222,6021
Gyeongsangbuk-do,봉화군,5248,14719,888,140,24,191,5202
Gyeongsangbuk-do,울진군,7327,23129,1859,197,35,283,8532
Gyeongsangnam-do,창원시의창구,54737,74483,12091,1679,162,1127,36806
Gyeongsangnam-do,창원시성산구,69874,80619,16676,2668,184,1355,37564
Gyeongsangnam-do,창원시마산합포구,40797,70653,8305,1087,134,955,32587
Gyeongsangnam-do,창원시마산회원구,43522,70165,9012,1218,179,969,31186
Gyeongsangnam-do,창원시진해구,49732,60152,9813,1213,145,968,35243
Gyeongsangnam-do,진주시,80491,127358,19197,2198,274,2046,58232
Gyeongsangnam-do,통영시,27921,45078,4765,616,111,658,23054
Gyeongsangnam-do,고성군,10744,20573,1662,254,27,320,9707
Gyeongsangnam-do,사천시,25242,41495,4949,662,103,663,21242
Gyeongsangnam-do,김해시,164796,147543,28524,3539,431,2713,101084
Gyeongsangnam-do,밀양시,23125,41676,3783,508,87,578,20893
Gyeongsangnam-do,거제시,69037,63490,10928,1682,185,1264,45673
Gyeongsangnam-do,의령군,5421,11559,832,140,34,228,5080
Gyeongsangnam-do,함안군,13802,23755,2275,371,60,338,11389
Gyeongsangnam-do,창녕군,11013,25310,1760,263,40,338,11914
Gyeongsangnam-do,양산시,105053,109649,17859,2211,253,1781,66700
Gyeongsangnam-do,하동군,10904,17035,1492,261,47,353,7448
Gyeongsangnam-do,남해군,9931,16808,1377,269,39,334,7746
Gyeongsangnam-do,함양군,8489,15503,1321,219,36,280,6854
Gyeongsangnam-do,산청군,7478,15548,1130,219,36,257,6300
Gyeongsangnam-do,거창군,12623,25259,2640,332,65,454,10943
Gyeongsangnam-do,합천군,7001,20132,1188,200,46,368,8394
Jeju-do,제주시,169119,102224,27522,4626,384,2810,103227
Jeju-do,서귀포시,59610,43066,9387,1565,144,1119,40452
