primary_cluster,secondary_cluster,LJM (Democratic),KMS (BOSU),LJS (Reform),KYK (Minno),SJH (Independent),invalid,blank
전북특별자치도,정읍시,"63,097","6,624","3,133",531,124,541,"16,351"
전북특별자치도,남원시,"47,213","5,125","2,193",447,100,447,"11,332"
전북특별자치도,김제시,"50,871","5,885","2,454",387,111,416,"13,079"
전북특별자치도,완주군,"59,889","7,592","3,783",701,105,525,"14,352"
전북특별자치도,진안군,"15,601","2,107",742,146,45,129,"3,466"
전북특별자치도,무주군,"13,395","2,876",785,135,47,145,"3,516"
전북특별자치도,장수군,"13,085","1,661",567,138,38,116,"2,983"
전북특별자치도,임실군,"16,678","1,849",686,138,46,156,"3,789"
전북특별자치도,순창군,"17,922","1,884",750,157,35,182,"3,254"
전북특별자치도,고창군,"32,692","3,515","1,324",246,106,304,"7,536"
전북특별자치도,부안군,"30,183","3,535","1,239",203,66,206,"7,955"
전라남도,목포시,"125,013","11,226","6,461","1,146",153,797,"32,875"
전라남도,여수시,"162,538","16,736","9,896","1,286",214,"1,094","39,585"
전라남도,순천시,"165,671","17,828","11,461","1,486",219,"1,097","36,559"
전라남도,나주시,"71,784","6,806","4,371",676,123,581,"15,632"
전라남도,광양시,"86,658","12,945","7,220",825,118,585,"22,777"
전라남도,담양군,"29,833","2,456","1,276",224,78,178,"6,340"
전라남도,장성군,"27,774","2,678","1,326",220,48,197,"6,085"
전라남도,곡성군,"17,677","1,806",724,195,56,202,"3,982"
전라남도,구례군,"16,019","1,879",627,130,32,134,"3,154"
전라남도,고흥군,"40,708","3,968","1,304",266,124,377,"8,817"
전라남도,보성군,"24,790","2,415",864,198,65,219,"5,521"
전라남도,화순군,"39,811","3,159","1,842",334,76,319,"8,765"
전라남도,장흥군,"22,956","2,021",819,182,80,195,"4,900"
전라남도,강진군,"20,809","2,278",849,182,54,216,"4,536"
전라남도,완도군,"30,888","2,152","1,058",172,86,298,"5,867"
전라남도,해남군,"42,205","3,496","1,576",294,99,384,"8,557"
전라남도,진도군,"18,814","1,702",780,122,57,200,"3,959"
전라남도,영암군,"32,195","3,006","1,466",330,70,270,"8,297"
전라남도,무안군,"56,222","5,103","3,479",551,102,448,"11,823"
전라남도,영광군,"32,618","3,172","1,823",216,111,262,"8,000"
전라남도,함평군,"20,528","1,584",713,125,70,214,"4,244"
전라남도,신안군,"26,430","2,208",887,192,69,255,"5,791"
경상북도,포항시북구,"49,724","120,983","13,386","1,646",153,"1,146","46,781"
경상북도,포항시남구,"39,332","94,527","10,809","1,290",138,"1,032","42,035"
경상북도,울릉군,"1,814","4,351",454,30,5,62,"1,696"
경상북도,경주시,"45,754","112,844","10,753","2,182",156,"1,184","44,447"
경상북도,김천시,"23,343","62,634","6,209",672,96,651,"24,168"
경상북도,안동시,"33,560","65,739","7,050",841,98,928,"28,115"
경상북도,구미시,"72,584","160,141","22,956","2,039",295,"1,974","78,640"
경상북도,영주시,"18,860","45,015","3,953",458,70,586,"17,959"
경상북도,영천시,"14,223","51,359","3,209",387,68,520,"18,128"
경상북도,상주시,"14,270","46,856","3,496",411,75,574,"16,269"
경상북도,문경시,"10,266","34,287","2,337",297,48,420,"12,132"
경상북도,예천군,"10,039","25,065","2,336",272,47,418,"8,480"
경상북도,경산시,"44,160","120,563","14,420","1,472",187,"1,328","50,522"
경상북도,청도군,"6,045","22,480","1,273",164,37,245,"7,526"
경상북도,고령군,"4,130","16,684",990,126,29,204,"5,605"
경상북도,성주군,"5,989","23,775","1,416",170,37,260,"6,589"
경상북도,칠곡군,"18,246","45,689","4,605",518,97,499,"22,580"
경상북도,의성군,"6,725","28,522","1,442",220,42,325,"8,457"
경상북도,청송군,"3,789","13,348",797,125,19,172,"3,820"
경상북도,영양군,"2,848","8,104",484,72,10,97,"2,546"
경상북도,영덕군,"4,407","18,780",972,155,22,222,"6,021"
경상북도,봉화군,"5,248","14,719",888,140,24,191,"5,202"
경상북도,울진군,"7,327","23,129","1,859",197,35,283,"8,532"
경상남도,창원시의창구,"54,737","74,483","12,091","1,679",162,"1,127","36,806"
경상남도,창원시성산구,"69,874","80,619","16,676","2,668",184,"1,355","37,564"
경상남도,창원시마산합포구,"40,797","70,653","8,305","1,087",134,955,"32,587"
경상남도,창원시마산회원구,"43,522","70,165","9,012","1,218",179,969,"31,186"
경상남도,창원시진해구,"49,732","60,152","9,813","1,213",145,968,"35,243"
경상남도,진주시,"80,491","127,358","19,197","2,198",274,"2,046","58,232"
경상남도,통영시,"27,921","45,078","4,765",616,111,658,"23,054"
경상남도,고성군,"10,744","20,573","1,662",254,27,320,"9,707"
경상남도,사천시,"25,242","41,495","4,949",662,103,663,"21,242"
경상남도,김해시,"164,796","147,543","28,524","3,539",431,"2,713","101,084"
경상남도,밀양시,"23,125","41,676","3,783",508,87,578,"20,893"
경상남도,거제시,"69,037","63,490","10,928","1,682",185,"1,264","45,673"
경상남도,의령군,"5,421","11,559",832,140,34,228,"5,080"
경상남도,함안군,"13,802","23,755","2,275",371,60,338,"11,389"
경상남도,창녕군,"11,013","25,310","1,760",263,40,338,"11,914"
경상남도,양산시,"105,053","109,649","17,859","2,211",253,"1,781","66,700"
경상남도,하동군,"10,904","17,035","1,492",261,47,353,"7,448"
경상남도,남해군,"9,931","16,808","1,377",269,39,334,"7,746"
경상남도,함양군,"8,489","15,503","1,321",219,36,280,"6,854"
경상남도,산청군,"7,478","15,548","1,130",219,36,257,"6,300"
경상남도,거창군,"12,623","25,259","2,640",332,65,454,"10,943"
경상남도,합천군,"7,001","20,132","1,188",200,46,368,"8,394"
제주특별자치도,제주시,"169,119","102,224","27,522","4,626",384,"2,810","103,227"
제주특별자치도,서귀포시,"59,610","43,066","9,387","1,565",144,"1,119","40,452"
